item_id,question_text,concepts,bloom
Q084,Which logic circuit detects overflow in addition of two’s complement numbers?,Two's Complement;Logic Circuit;Overflow Detection,Apply
Q085,Which one of the following describes a Karnaugh map?,Digital Logic;Circuit Design;Boolean Algebra,Understand
Q086,"What is the output of a full adder when inputs are 1,1,1?",Digital Logic;Full Adder;Binary Arithmetic,Apply
Q087,Which sequential circuit stores one bit of data?,Flip Flop;Register;Sequential Circuit,Understand
Q088,Which one of the following counters is asynchronous?,Thread;Asynchronous,Understand
Q089,Which combinational circuit selects one input from many inputs?,Multiplexer;Combinatorial Logic;Demultiplexer,Understand
Q090,Which code is used for error detection in data transmission?,Error Detection;Data Transmission;Cyclic Redundancy Check (CRC);Checksum,Apply
Q091,What is the number of edges in a tree with n vertices?,Graph Theory;Trees;Number of Edges,Understand
Q092,What is the size of the power set of a set with n elements?,Power Set;Set Theory;Cardinality,Analyze
Q093,What is Euler’s formula for connected planar graphs?,Euler's Formula;Connected Planar Graphs,Understand
Q094,"In probability theory, what is the expected number of heads when a fair coin is tossed n times?",Binomial Distribution;Expected Value;Probability Theory,Apply
Q095,"If X and Y are independent random variables, what is Var(X+Y)?",Independence;Random Variables;Variance,Apply
Q096,Which graph necessarily has an Eulerian circuit?,Graph Theory;Eulerian Circuit;Connected Graph,Analyze
Q097,Which traversal algorithm in graphs is depth-first search (DFS)?,Graph Traversal;Depth-First Search,Understand
Q098,Which one of the following is TRUE about dynamic programming on graphs?,Graph Algorithms;Dynamic Programming;Memoization,Apply
Q099,Which one of the following grows as n!: permutations or combinations with repetition?,Permutations;Combinations,Understand
Q100,Which one of the following is NOT decidable by a Turing machine?,Turing Machine;Undecidability;Recursive Enigma,Apply
